age,gender,city,steps,sleep_hours,screen_time,calories
22.0,F,Stockholm,10495.0,6.73,4.04,1582.0
54.0,M,Göteborg,7494.0,6.88,4.59,2017.0
,F,Stockholm,8726.0,6.97,4.57,2979.0
38.0,M,Stockholm,3180.0,7.27,2.38,2330.0
38.0,M,Stockholm,5687.0,8.14,5.46,2419.0
58.0,F,Malmö,7412.0,5.67,2.84,2243.0
22.0,F,Malmö,5855.0,5.59,5.11,2316.0
50.0,M,Stockholm,9428.0,5.69,3.88,2571.0
27.0,F,Göteborg,11994.0,7.35,1.64,1896.0
22.0,F,Göteborg,5646.0,8.49,3.7,2560.0
42.0,M,Malmö,6325.0,6.48,4.67,1557.0
63.0,M,Malmö,8470.0,4.0,4.88,2355.0
52.0,F,Göteborg,11222.0,,3.55,2329.0
53.0,F,Malmö,5555.0,6.0,6.48,1886.0
51.0,F,Malmö,8498.0,6.33,5.47,2197.0
54.0,,Malmö,11642.0,6.51,3.34,1974.0
42.0,M,Malmö,4696.0,7.05,5.37,1668.0
24.0,M,Stockholm,5437.0,6.63,7.09,2002.0
,M,Göteborg,,8.26,7.0,1690.0
39.0,M,Uppsala,6958.0,6.19,2.24,2330.0
41.0,F,Uppsala,9625.0,5.97,2.49,1707.0
35.0,F,Malmö,8483.0,7.57,6.19,2528.0
26.0,M,Malmö,4450.0,5.16,2.68,1615.0
61.0,M,Stockholm,9030.0,7.47,1.94,1961.0
54.0,M,Stockholm,6844.0,7.12,3.36,1902.0
48.0,F,Stockholm,10548.0,6.82,4.44,2835.0
36.0,F,Stockholm,6744.0,8.91,3.94,2330.0
56.0,F,Stockholm,6726.0,6.25,3.12,2086.0
43.0,F,Stockholm,9082.0,,2.91,2441.0
38.0,M,Göteborg,9525.0,6.73,2.82,1275.0
39.0,M,Stockholm,8896.0,5.47,2.61,2194.0
28.0,F,Göteborg,4628.0,7.08,7.68,3048.0
22.0,F,Stockholm,9076.0,5.71,,2276.0
44.0,M,Stockholm,5931.0,6.1,5.49,2200.0
59.0,F,Göteborg,8470.0,7.48,3.23,2454.0
20.0,M,Stockholm,5152.0,7.67,3.93,2560.0
58.0,M,Göteborg,8892.0,6.25,2.86,1315.0
56.0,F,Stockholm,6386.0,8.18,0.62,1419.0
31.0,F,Göteborg,5434.0,8.39,2.13,2256.0
47.0,M,Uppsala,9427.0,8.72,1.18,1900.0
25.0,M,Göteborg,8483.0,7.64,0.59,2798.0
53.0,F,Uppsala,6772.0,8.64,,2040.0
50.0,M,Stockholm,10902.0,4.74,5.77,1373.0
34.0,M,Stockholm,7118.0,6.62,4.0,1616.0
21.0,M,Stockholm,8064.0,5.96,5.93,1001.0
63.0,F,Stockholm,8537.0,7.14,4.58,2103.0
38.0,M,Uppsala,6760.0,6.31,5.27,2097.0
59.0,M,Göteborg,8942.0,6.8,2.58,2023.0
49.0,F,Stockholm,6933.0,9.26,4.87,2669.0
54.0,F,Göteborg,7176.0,6.8,5.15,2727.0
53.0,M,Stockholm,10725.0,7.5,2.93,2164.0
27.0,F,Göteborg,5918.0,6.72,5.0,1208.0
35.0,F,Stockholm,3174.0,7.09,5.21,2405.0
39.0,F,Stockholm,11221.0,7.01,2.93,2498.0
41.0,M,Malmö,13098.0,7.54,1.93,2416.0
20.0,M,Stockholm,7189.0,8.4,2.28,2630.0
43.0,F,Stockholm,4126.0,8.98,4.42,1618.0
25.0,M,Stockholm,7379.0,7.37,4.54,3095.0
52.0,F,Malmö,7427.0,7.71,2.85,1760.0
50.0,M,Stockholm,7620.0,5.62,4.07,2531.0
61.0,M,Uppsala,5773.0,6.89,5.02,1407.0
53.0,M,Göteborg,9159.0,8.13,4.84,1799.0
35.0,F,Göteborg,9049.0,8.04,6.25,2898.0
63.0,M,Göteborg,5011.0,7.25,6.14,2038.0
37.0,F,Stockholm,9398.0,8.06,2.39,2599.0
33.0,M,Malmö,12105.0,7.59,6.22,2368.0
60.0,F,Stockholm,8343.0,8.44,3.18,2158.0
35.0,F,Stockholm,7325.0,7.35,5.62,2804.0
,F,Malmö,7715.0,6.57,4.12,2089.0
40.0,M,Stockholm,9230.0,7.4,3.29,1417.0
55.0,F,Stockholm,4538.0,3.5,1.55,1787.0
26.0,M,Göteborg,8328.0,7.46,3.72,2453.0
39.0,F,Malmö,7219.0,3.5,1.72,2366.0
24.0,F,Malmö,11695.0,4.93,5.17,1550.0
50.0,M,Göteborg,7651.0,7.54,6.3,1869.0
40.0,F,Göteborg,11335.0,7.57,2.55,1988.0
33.0,M,Uppsala,5792.0,5.61,4.62,2002.0
28.0,M,Malmö,9174.0,6.15,2.82,1598.0
44.0,F,Malmö,8638.0,8.64,3.01,1927.0
49.0,F,Stockholm,6261.0,6.42,5.29,1846.0
62.0,,Stockholm,8354.0,9.69,3.92,2552.0
38.0,M,Uppsala,10425.0,,6.43,2600.0
25.0,M,Stockholm,7352.0,7.49,3.33,2125.0
57.0,F,Malmö,4616.0,8.94,5.75,1973.0
47.0,F,Malmö,7964.0,7.16,4.15,2262.0
50.0,F,Uppsala,6195.0,5.8,5.33,1805.0
22.0,F,Stockholm,7315.0,6.87,3.38,1674.0
32.0,M,Uppsala,7836.0,6.96,3.94,1774.0
54.0,M,Göteborg,4588.0,5.36,4.08,1863.0
57.0,F,Stockholm,4768.0,6.69,2.99,1628.0
38.0,M,Stockholm,8964.0,6.11,4.92,2287.0
55.0,F,Göteborg,6954.0,8.11,5.05,2513.0
57.0,F,Stockholm,2870.0,7.04,5.28,1409.0
36.0,M,Stockholm,9569.0,6.66,6.19,2235.0
60.0,M,Göteborg,8544.0,6.87,6.13,2109.0
31.0,M,Malmö,6572.0,7.27,3.54,2332.0
29.0,F,Stockholm,5366.0,7.74,4.76,2155.0
50.0,F,Göteborg,9671.0,5.8,2.94,1571.0
47.0,F,Malmö,8698.0,5.75,3.98,1642.0
24.0,F,Malmö,12765.0,8.33,2.74,2285.0
57.0,M,Malmö,8840.0,6.51,6.37,2676.0
27.0,M,Uppsala,8775.0,,4.49,1215.0
55.0,F,,7666.0,7.53,3.7,2351.0
18.0,M,Göteborg,9633.0,7.56,5.67,2760.0
55.0,F,Uppsala,9250.0,5.16,0.65,2150.0
54.0,M,Stockholm,10503.0,7.28,0.79,2485.0
54.0,F,Göteborg,6957.0,7.88,5.27,
49.0,F,Stockholm,7129.0,7.45,4.16,2133.0
40.0,M,Göteborg,7041.0,7.76,4.45,
51.0,F,Uppsala,9581.0,5.31,1.89,1169.0
31.0,F,Stockholm,10996.0,7.4,3.74,2669.0
54.0,F,Stockholm,7082.0,6.64,7.07,1743.0
44.0,F,Göteborg,7150.0,6.42,5.3,1982.0
39.0,F,Stockholm,8628.0,8.04,4.21,1586.0
41.0,F,Göteborg,7508.0,8.78,3.38,1558.0
44.0,M,Göteborg,9904.0,9.15,3.27,2150.0
19.0,M,Göteborg,3496.0,8.58,1.14,1804.0
24.0,F,Stockholm,6346.0,6.87,4.51,2345.0
29.0,F,Göteborg,6435.0,7.42,5.39,2380.0
23.0,M,Uppsala,3359.0,7.92,1.98,2275.0
38.0,M,Stockholm,6072.0,7.15,3.15,2278.0
49.0,M,Göteborg,6169.0,7.16,2.4,2883.0
48.0,M,Göteborg,7597.0,7.99,2.58,1714.0
40.0,M,Göteborg,10225.0,6.93,3.91,2209.0
58.0,F,Stockholm,7509.0,6.12,0.91,2702.0
44.0,F,Stockholm,5938.0,6.5,5.08,2738.0
21.0,M,Göteborg,7886.0,7.76,5.14,1558.0
53.0,M,Stockholm,10098.0,7.0,3.47,2091.0
,F,Göteborg,6048.0,7.41,0.65,2782.0
47.0,M,Stockholm,6178.0,7.8,,2401.0
44.0,F,Uppsala,9117.0,6.55,5.77,2305.0
44.0,M,Stockholm,7556.0,7.91,0.53,2095.0
22.0,M,Stockholm,9294.0,7.45,3.38,2047.0
44.0,F,Stockholm,7972.0,5.52,2.23,2329.0
55.0,F,Göteborg,9403.0,8.73,5.1,2107.0
32.0,F,Göteborg,5929.0,6.4,3.14,2150.0
46.0,M,Göteborg,7975.0,5.01,4.61,2235.0
19.0,M,Stockholm,7578.0,5.75,4.88,1889.0
34.0,F,Stockholm,5568.0,5.77,6.94,2403.0
38.0,F,Stockholm,4873.0,7.06,3.93,3465.0
64.0,M,Stockholm,9371.0,6.67,4.46,1421.0
28.0,F,Göteborg,7298.0,6.6,1.83,2335.0
30.0,F,Stockholm,5955.0,7.74,5.94,1827.0
37.0,F,Göteborg,7807.0,7.41,2.87,2457.0
64.0,M,Göteborg,10256.0,7.38,2.99,2255.0
58.0,M,Stockholm,3438.0,7.49,4.31,2474.0
19.0,F,Uppsala,5006.0,7.74,1.88,2684.0
28.0,M,Stockholm,6154.0,4.47,4.48,2259.0
56.0,M,Göteborg,10922.0,6.56,5.23,2753.0
20.0,F,Stockholm,8565.0,4.38,4.4,1154.0
58.0,M,Göteborg,9534.0,7.04,1.5,2939.0
,M,Stockholm,5719.0,6.99,3.99,2335.0
61.0,F,Stockholm,5760.0,8.25,5.28,2651.0
31.0,F,Göteborg,8895.0,8.43,1.12,1664.0
38.0,M,Göteborg,8116.0,7.24,2.38,1828.0
49.0,M,Göteborg,9097.0,6.4,5.23,2282.0
23.0,F,Uppsala,7624.0,7.58,4.43,2187.0
,M,Malmö,8556.0,6.37,4.58,2336.0
41.0,M,Stockholm,8316.0,7.0,6.77,2693.0
54.0,F,Stockholm,9555.0,,4.59,1429.0
64.0,M,Stockholm,9614.0,6.33,4.87,2662.0
49.0,F,Göteborg,4760.0,7.97,8.31,2155.0
37.0,,Uppsala,3505.0,7.81,4.02,2041.0
37.0,F,Malmö,10003.0,5.85,2.65,1568.0
37.0,F,Stockholm,10375.0,8.17,4.46,2462.0
56.0,M,Stockholm,5958.0,7.84,4.81,1083.0
33.0,F,Stockholm,4280.0,7.12,3.49,2436.0
25.0,M,Uppsala,8198.0,6.09,2.44,1532.0
33.0,F,Göteborg,9861.0,5.97,7.33,2252.0
19.0,M,Stockholm,11595.0,6.35,4.22,2200.0
22.0,M,Malmö,9032.0,7.65,2.82,2742.0
22.0,M,Malmö,7256.0,5.85,5.43,2108.0
54.0,F,Göteborg,6213.0,7.53,3.97,1861.0
51.0,F,Göteborg,8022.0,,3.62,1972.0
50.0,M,Göteborg,7401.0,6.76,4.89,2764.0
39.0,M,Malmö,5969.0,7.13,2.21,2411.0
51.0,M,Malmö,12097.0,9.93,4.22,2088.0
25.0,F,Stockholm,11570.0,5.35,6.6,2147.0
60.0,M,,10272.0,8.77,4.53,1529.0
41.0,F,Malmö,6158.0,7.18,3.57,2347.0
62.0,F,Malmö,9710.0,7.49,3.11,1434.0
25.0,M,Göteborg,9279.0,7.14,3.29,2557.0
41.0,F,Stockholm,8885.0,7.53,3.55,2271.0
50.0,M,Malmö,10499.0,6.82,3.25,3312.0
41.0,F,Göteborg,9270.0,8.74,5.28,1724.0
38.0,F,Malmö,9480.0,6.45,1.29,2176.0
25.0,F,Malmö,9273.0,8.36,5.2,3028.0
35.0,M,Göteborg,8681.0,6.23,3.38,2746.0
29.0,M,Stockholm,4432.0,6.93,4.83,1833.0
32.0,M,Stockholm,8167.0,5.71,,2303.0
50.0,M,Stockholm,6887.0,7.55,6.08,2184.0
47.0,M,Stockholm,5440.0,8.73,6.06,2288.0
46.0,M,Stockholm,11363.0,6.91,5.19,1936.0
35.0,M,Malmö,11457.0,6.76,,2212.0
63.0,F,Stockholm,10718.0,5.66,5.04,1522.0
22.0,F,Stockholm,8510.0,6.72,4.57,2268.0
34.0,F,Malmö,10701.0,5.09,1.39,2443.0
23.0,F,Stockholm,8024.0,5.9,,2098.0
33.0,M,Malmö,8405.0,7.27,4.52,1479.0
63.0,F,,5813.0,8.58,5.0,2612.0
35.0,F,Stockholm,8793.0,10.37,4.21,2376.0
60.0,M,Stockholm,8120.0,6.3,4.43,1875.0
41.0,M,Uppsala,5394.0,8.72,6.41,2035.0
50.0,M,Stockholm,7897.0,7.29,5.85,1523.0
39.0,F,Stockholm,7840.0,6.82,0.51,1736.0
30.0,F,Stockholm,11595.0,7.52,3.25,2012.0
53.0,M,Malmö,9788.0,7.07,3.62,2780.0
